2500000,4,5,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'Meja', 'WiFi', 'Bisa pasutri', 'Maks. 2 orang/ kamar', 'Telp extention', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'R. Tamu', 'Dapur', 'R. Jemur', 'Akses 24 Jam', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid', 'Deposit harga 1 bulan']"
1600000,3,3,"['Kasur', 'Lemari Baju', 'AC', 'Meja', 'WiFi', 'Bisa pasutri', 'Maks. 2 orang/ kamar', 'Telp extention', 'K. Mandi Dalam', 'Kloset Duduk', 'R. Tamu', 'Dapur', 'R. Jemur', 'Akses 24 Jam', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid', 'Deposit harga 1 bulan']"
2500000,3,3,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'WiFi', 'Dispenser', 'Kulkas', 'Bisa pasutri', 'Maks. 2 orang/ kamar', 'TV Kabel', 'Pasutri Tidak Bawa Anak', 'Bantal', 'Cermin', 'Guling', 'Ventilasi', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'Air panas', 'R. Santai', 'R. Jemur', 'Penjaga Keamanan', 'Laundry', 'Dispenser', 'Taman', 'Akses 24 Jam', 'CCTV', 'Pengurus Kos', 'Jemuran', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid', 'Deposit = 1,5Listrik = Token']"
3000000,3,4,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'WiFi', 'Kulkas', 'Wastafel', 'Bisa pasutri', 'Maks. 2 orang/ kamar', 'TV Kabel', 'Pasutri Tidak Bawa Anak', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'Wastafel', 'Air panas', 'R. Santai', 'R. Jemur', 'Penjaga Keamanan', 'Laundry', 'Dispenser', 'Taman', 'Akses 24 Jam', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid']"
2100000,3,4,"['Kasur', 'Lemari Baju', 'AC', 'Meja', 'WiFi', 'Kursi', 'Wastafel', 'Bisa pasutri', 'Cleaning service', 'Kartu Akses', 'Pasutri Tidak Bawa Anak', 'Bantal', 'Cermin', 'Guling', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'Wastafel', 'Air panas', 'Bathtub', 'Cermin', 'Dapur', 'R. Santai', 'Laundry', 'Kulkas', 'Akses 24 Jam', 'Hewan Peliharaan OK', 'CCTV', 'Pengurus Kos', 'CCTV', 'Parkir Mobil', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid']"
2250000,2.5,4,"['Kasur', 'Lemari Baju', 'AC', 'Meja', 'WiFi', 'Kursi', 'Kulkas', 'Wastafel', 'Bisa pasutri', 'Cleaning service', 'Maks. 2 orang/ kamar', 'Pasutri Tidak Bawa Anak', 'Bantal', 'Cermin', 'Guling', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'Wastafel', 'Air panas', 'Bathtub', 'Cermin', 'Dapur', 'R. Santai', 'Penjaga Keamanan', 'Laundry', 'Kulkas', 'Akses 24 Jam', 'K. Mandi Luar', 'Hewan Peliharaan OK', 'Pengurus Kos', 'CCTV', 'Parkir Mobil', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall']"
1900000,3,3,"['Kasur', 'Lemari Baju', 'AC', 'Meja', 'WiFi', 'Khusus karyawan', 'Kloset Duduk', 'K. Mandi Luar', 'Dapur', 'Laundry', 'Dispenser', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid', '-']"
1100000,3,3,"['Kasur', 'Lemari Baju', 'Meja', 'WiFi', 'Free aqua galon', 'Kloset Duduk', 'K. Mandi Luar', 'Kloset Jongkok', 'kamar mandi luas', 'Dapur', 'Laundry', 'Kulkas', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', '100meter dari stasiun sudirman']"
2750000,3,6,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'Meja', 'WiFi', 'Sofa', 'kasur single', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'Wastafel', 'Air panas', 'Tersedia cermin, gantungan baju, ekshaust', 'R. Tamu', 'Dapur', 'R. Jemur', 'Laundry', 'Kulkas', 'Dispenser', 'TV', 'Balcon', 'Akses 24 Jam', 'Parkir Mobil', 'Parkir Motor', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Kampus / Sekolah', 'Pusat belanja / Mall']"
1800000,3,4,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'WiFi', 'Bisa pasutri', 'Cleaning service', 'K. Mandi Dalam', 'Shower', 'Kloset Jongkok', 'Ember mandi', 'R. Tamu', 'R. Makan', 'Dapur', 'R. Santai', 'R. Jemur', 'Kulkas', 'Dispenser', 'TV', 'Balcon', 'Akses 24 Jam', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid', 'Berdua ada penambahan 200.000']"
